$crassa_BA_sex
       Geneid methylation  expression
2820 Ntsc3866  0.15384615 11.56100250
2837 Ntsc3883  0.10714286  3.08331425
2874 Ntsc3920  0.12500000  7.70167748
2899 Ntsc3946  0.13888889 -1.43707785
2918 Ntsc3965  0.11392405  3.57372569
3211 Ntsc4258  0.14084507  8.39048856
3337 Ntsc4384  0.00000000  7.84304562
3509 Ntsc4556  0.12765957  6.42201502
3568 Ntsc4615  0.09677419  6.16261316
3644 Ntsc4691  0.15267176  7.64749353
3656 Ntsc4703  0.10810811 -0.56397473
3663 Ntsc4710  0.15384615 -0.84731561
3712 Ntsc4759  0.10526316 -1.43818195
3723 Ntsc4770  0.14379085  6.38231081
3769 Ntsc4816  0.14035088  9.22862783
3790 Ntsc4837  0.11764706  0.75935991
3838 Ntsc4885  0.15517241  9.46639011
4051 Ntsc5098  0.14529915  8.72427490
4100 Ntsc5147  0.13709677  8.12564405
4144 Ntsc5191  0.12698413 10.85533962
4164 Ntsc5211  0.13043478  9.84595792
4236 Ntsc5283  0.12962963  9.33244693
4267 Ntsc5315  0.15384615  9.82667880
4284 Ntsc5332  0.14193548  1.67542052
4346 Ntsc5394  0.00000000  2.20696843
4394 Ntsc5442  0.05263158 10.12181782
4437 Ntsc5485  0.00000000 10.15129164
4460 Ntsc5508  0.08695652 -0.49335267
4461 Ntsc5509  0.09048362  8.03089059
4496 Ntsc5544  0.08333333  8.02777435
4756 Ntsc5804  0.14516129  2.45037941
4793 Ntsc5841  0.12903226  1.56602045
4810 Ntsc5858  0.15000000  2.15840132
4968 Ntsc6016  0.14814815  4.15065436
5011 Ntsc6059  0.14084507  2.02421030
5021 Ntsc6069  0.15094340  1.03382675
5023 Ntsc6071  0.12000000  0.33579685
5025 Ntsc6073  0.15652174  0.68105142
5072 Ntsc6120  0.11214953  7.14532630
5083 Ntsc6131  0.15384615 -1.03379631
5096 Ntsc6144  0.00000000  8.00609840
5105 Ntsc6153  0.13541667  3.77081485
5107 Ntsc6155  0.08333333  1.56487449
5108 Ntsc6156  0.15151515  6.82786146
5420 Ntsc6469  0.12068966  5.95929539
5529 Ntsc6578  0.13829787  8.80803373
5546 Ntsc6596  0.10526316  6.88535741
5558 Ntsc6608  0.15000000  3.16420559
5566 Ntsc6616  0.00000000 -1.63097766
5666 Ntsc6717  0.09615385  9.56974630
5682 Ntsc6733  0.13043478  7.26664843
5696 Ntsc6747  0.07807808  6.14823317
5704 Ntsc6755  0.05000000  0.82042549
5734 Ntsc6785  0.11504425  9.81433256
5937 Ntsc6988  0.08333333  5.04752003
5976 Ntsc7027  0.13559322  1.25687153
5997 Ntsc7048  0.15384615  5.27648204
6068 Ntsc7119  0.08333333  0.65405308
6087 Ntsc7138  0.15151515  3.49000236
6099 Ntsc7150  0.05714286  9.41646079
6107 Ntsc7158  0.12500000  2.19850717
6120 Ntsc7171  0.11764706  6.90285750
6378 Ntsc7430  0.14634146  2.41304981
6513 Ntsc7565  0.12121212 -0.68401130
6574 Ntsc7626  0.07438017  6.97402102
6636 Ntsc7689  0.11801242 -0.90308865
6637 Ntsc7690  0.14843750  4.87136251
6933 Ntsc7986  0.00000000  1.36786196
6934 Ntsc7987  0.11111111 -0.66789449
6964 Ntsc8017  0.00000000  4.81599662
6983 Ntsc8036  0.15517241 -0.52729398
7061 Ntsc8114  0.11627907  6.41890487
7062 Ntsc8115  0.12195122  0.42896763
7099 Ntsc8152  0.15625000 -2.30340303

$L1_BA_sex
       Geneid methylation expression
28   Ntsc1069  0.11702128  9.0848742
78   Ntsc1119  0.09090909  6.4106728
193  Ntsc1234  0.00000000  7.5997422
241  Ntsc1282  0.11764706  9.2125609
404  Ntsc1445  0.06666667 -2.2083605
458  Ntsc1500  0.10130719  9.0952035
560  Ntsc1602  0.07692308  9.2459205
604  Ntsc1646  0.10869565  5.8514522
656  Ntsc1698  0.09677419  1.1422241
663  Ntsc1705  0.09124767  2.3682580
705  Ntsc1747  0.09375000 -1.0978530
734  Ntsc1776  0.08888889 11.0702547
776  Ntsc1818  0.11764706  7.0180597
844  Ntsc1886  0.11111111  7.0440075
1060 Ntsc2102  0.10909091  4.6058024
1074 Ntsc2116  0.09708738  9.4983394
1080 Ntsc2122  0.09677419 -0.5589653
1105 Ntsc2148  0.10256410 -1.9708905
1156 Ntsc2199  0.09803922  2.4151532
1160 Ntsc2203  0.10322581  0.4318240
1168 Ntsc2211  0.09967846 10.9717121
1182 Ntsc2225  0.10000000  6.4490850
1195 Ntsc2238  0.11428571  5.8470536
1243 Ntsc2286  0.10526316  7.1925932
1253 Ntsc2296  0.00000000 -2.0660672
1308 Ntsc2351  0.11864407  0.2834790
1316 Ntsc2359  0.10714286  7.1040925
1335 Ntsc2378  0.04878049 11.1805966
1401 Ntsc2444  0.10344828  0.7599580
1421 Ntsc2464  0.11764706 -2.3993138
1426 Ntsc2469  0.07964602  1.0963629
1447 Ntsc2490  0.08695652  4.8824594
1494 Ntsc2537  0.11688312  5.1920093
1517 Ntsc2560  0.06161137  7.9967461
1522 Ntsc2565  0.11764706  4.7353902
1685 Ntsc2728  0.00000000  4.7785680
1711 Ntsc2754  0.03125000  1.5739282
1713 Ntsc2756  0.05882353  1.9603091
1715 Ntsc2758  0.11827957  8.1083952
1744 Ntsc2787  0.10843373  1.6048476
1798 Ntsc2841  0.04950495 -0.6440782
1858 Ntsc2902  0.11904762  9.8689427
1928 Ntsc2972  0.11475410  7.3453771
2014 Ntsc3059  0.07174491 11.3490409
2041 Ntsc3086  0.11864407  2.0205339
2049 Ntsc3094  0.11184211  8.2656096
2057 Ntsc3102  0.08781362  7.1325823
2192 Ntsc3237  0.10294118 10.6430974
2237 Ntsc3282  0.10638298  7.1141158
2250 Ntsc3295  0.09090909  8.4485252
2298 Ntsc3343  0.11009174  8.3404763
2302 Ntsc3347  0.04545455  7.8530807
2455 Ntsc3500  0.11764706  6.2391309
2499 Ntsc3544  0.11458333  8.6299942
2506 Ntsc3551  0.06122449  8.8866819
2646 Ntsc3692  0.11818182  8.3321488
2741 Ntsc3787  0.03030303 -1.7816969
2808 Ntsc3854  0.07407407  7.1766648
2879 Ntsc3925  0.10526316  5.4729939
2881 Ntsc3927  0.10169492  1.6182026
2889 Ntsc3935  0.00000000  0.7209407
2916 Ntsc3963  0.07894737 -0.6554395
2935 Ntsc3982  0.09027778  9.2088559
2969 Ntsc4016  0.08333333  4.1747262
2975 Ntsc4022  0.06153846  4.6887543
3364 Ntsc4411  0.09259259 12.8135271
3394 Ntsc4441  0.11764706  9.2009981
3432 Ntsc4479  0.11428571 11.4577405
3478 Ntsc4525  0.09774436  0.5443293
3663 Ntsc4710  0.07692308 -0.8497669
3709 Ntsc4756  0.06250000  0.5965279
3759 Ntsc4806  0.07352941  5.8533179
3762 Ntsc4809  0.11864407  8.7084112
3790 Ntsc4837  0.11764706  0.8086337
4037 Ntsc5084  0.11607143 11.7551737
4115 Ntsc5162  0.11242604  8.4647316
4144 Ntsc5191  0.07936508 11.7161222
4145 Ntsc5192  0.05940594 10.8943120
4258 Ntsc5306  0.11111111 -0.1330910
4332 Ntsc5380  0.11827957 -2.3040974
4346 Ntsc5394  0.10000000  2.1339811
4377 Ntsc5425  0.11594203  3.6462349
4404 Ntsc5452  0.11111111  4.4532347
4430 Ntsc5478  0.10000000  7.6260898
4460 Ntsc5508  0.08695652 -0.5752461
4461 Ntsc5509  0.05928237  4.6079353
4480 Ntsc5528  0.10714286  5.6158492
4496 Ntsc5544  0.08333333  6.9328443
4538 Ntsc5586  0.10606061  2.9523884
4682 Ntsc5730  0.11627907  5.6617219
4713 Ntsc5761  0.11881188 10.9032111
4784 Ntsc5832  0.08988764  1.4234804
4808 Ntsc5856  0.09708738  1.8398564
5021 Ntsc6069  0.03773585  1.0298957
5023 Ntsc6071  0.00000000  0.3540883
5029 Ntsc6077  0.08928571  0.6701426
5096 Ntsc6144  0.00000000  7.4144551
5174 Ntsc6222  0.05000000  8.2900492
5189 Ntsc6237  0.09876543  5.1733613
5261 Ntsc6309  0.06000000  8.9544650
5311 Ntsc6359  0.09090909  6.0467898
5351 Ntsc6400  0.00000000  6.4346307
5558 Ntsc6608  0.10000000  2.7132004
5566 Ntsc6616  0.00000000 -1.6341591
5574 Ntsc6625  0.00000000  6.2385939
5603 Ntsc6654  0.11538462  5.4529972
5610 Ntsc6661  0.11842105 -1.9708965
5630 Ntsc6681  0.07142857  4.3289900
5664 Ntsc6715  0.09282700  9.4611464
5679 Ntsc6730  0.06451613  1.3080561
5682 Ntsc6733  0.05797101  7.7905910
5692 Ntsc6743  0.11666667  2.3639250
5696 Ntsc6747  0.06906907  8.3841562
5893 Ntsc6944  0.08108108  7.5141974
5928 Ntsc6979  0.09890110  9.2571225
5961 Ntsc7012  0.00000000  8.3319111
5976 Ntsc7027  0.05084746  1.4315844
6001 Ntsc7052  0.10000000  6.6138188
6009 Ntsc7060  0.10000000 -2.3992297
6054 Ntsc7105  0.10000000 -0.5989938
6074 Ntsc7125  0.07915567  8.8543025
6079 Ntsc7130  0.06398104 11.6401060
6120 Ntsc7171  0.05882353  4.2992682
6158 Ntsc7209  0.10416667  8.0745996
6192 Ntsc7243  0.06060606  6.3834126
6234 Ntsc7285  0.08771930  5.4610734
6435 Ntsc7487  0.08108108  5.1928728
6480 Ntsc7532  0.10344828  1.9866129
6620 Ntsc7672  0.11111111  0.9181128
6651 Ntsc7704  0.09433962  9.2765162
6656 Ntsc7709  0.10526316 -2.0575580
6690 Ntsc7743  0.11304348  2.6610884
6730 Ntsc7783  0.09824561 10.0847796
6737 Ntsc7790  0.11716621 12.0114430
6743 Ntsc7796  0.08695652  0.1484800
6761 Ntsc7814  0.11224490  7.4009515
6797 Ntsc7850  0.06614786 10.5747255
6809 Ntsc7862  0.09411765  7.4646751
6833 Ntsc7886  0.10000000 -2.1607072
6837 Ntsc7890  0.09433962  7.1192017
6838 Ntsc7891  0.09523810  1.9567832
6840 Ntsc7893  0.11304348  6.0308853
6855 Ntsc7908  0.11764706  5.8387314
6899 Ntsc7952  0.06666667 -2.3039350
6913 Ntsc7966  0.11870504  8.3762195
6929 Ntsc7982  0.11538462  8.5662273
6932 Ntsc7985  0.08695652  6.3053478
6933 Ntsc7986  0.00000000  0.8337417
6934 Ntsc7987  0.11111111 -0.7918631
7050 Ntsc8103  0.11627907  9.4471159
7056 Ntsc8109  0.11320755  6.5679859
7062 Ntsc8115  0.09756098  0.4068937
7070 Ntsc8123  0.10000000 -0.9823116
7075 Ntsc8128  0.11627907 -1.1393950
7084 Ntsc8137  0.06557377  5.6362067
7100 Ntsc8153  0.08823529  1.7872667
7107 Ntsc8160  0.02536232  8.3947563

$L1_sa_sex
       Geneid methylation expression
28   Ntsc1069  0.10000000  9.1509186
65   Ntsc1106  0.09090909 -0.9216116
81   Ntsc1122  0.07812500  0.9387345
97   Ntsc1138  0.00000000  9.0930032
130  Ntsc1171  0.08403361  8.0393711
142  Ntsc1183  0.08974359  0.4668687
190  Ntsc1231  0.08040201  5.6110355
385  Ntsc1426  0.00000000  4.7792174
404  Ntsc1445  0.06666667 -2.2084664
458  Ntsc1500  0.07843137  9.2603296
572  Ntsc1614  0.07692308  3.7526168
656  Ntsc1698  0.04838710  1.1696244
657  Ntsc1699  0.09333333  1.3611096
663  Ntsc1705  0.09310987  2.0184396
725  Ntsc1767  0.02777778  8.9429511
739  Ntsc1781  0.00000000  9.6262823
797  Ntsc1839  0.10000000 -1.8288090
831  Ntsc1873  0.10000000  8.4764081
889  Ntsc1931  0.07142857 -2.0191117
927  Ntsc1969  0.08771930  3.6706740
928  Ntsc1970  0.07575758  8.6518488
1080 Ntsc2122  0.03225806 -0.5780803
1101 Ntsc2144  0.05769231 -2.0653125
1105 Ntsc2148  0.07692308 -1.9711117
1124 Ntsc2167  0.09090909  7.3555680
1160 Ntsc2203  0.09032258  0.5129929
1253 Ntsc2296  0.00000000 -2.0617138
1307 Ntsc2350  0.00000000  1.1222094
1335 Ntsc2378  0.05487805 11.0714376
1376 Ntsc2419  0.07692308  1.2961789
1421 Ntsc2464  0.05882353 -2.3993378
1426 Ntsc2469  0.09734513  1.1121656
1447 Ntsc2490  0.04347826  5.2367910
1475 Ntsc2518  0.06666667  2.3860425
1517 Ntsc2560  0.07109005  8.0049312
1567 Ntsc2610  0.09523810 -1.7655889
1568 Ntsc2611  0.05405405  1.2784943
1592 Ntsc2635  0.08910891  1.5037083
1617 Ntsc2660  0.09259259  3.7036709
1626 Ntsc2669  0.06849315 -1.3075174
1641 Ntsc2684  0.06557377  6.8406525
1655 Ntsc2698  0.08333333  6.1835181
1711 Ntsc2754  0.06250000  1.7391165
1736 Ntsc2779  0.07594937 10.1974062
1762 Ntsc2805  0.09638554  8.6444226
1798 Ntsc2841  0.06930693 -0.6347440
1842 Ntsc2886  0.09859155  2.0504274
1858 Ntsc2902  0.04761905  9.4063035
2014 Ntsc3059  0.06465899 10.8424422
2057 Ntsc3102  0.06810036  7.4155293
2250 Ntsc3295  0.00000000  8.0086640
2302 Ntsc3347  0.06818182  7.1358801
2396 Ntsc3441  0.09230769  5.0730882
2449 Ntsc3494  0.07377049  7.6204223
2525 Ntsc3570  0.09876543  7.7229856
2619 Ntsc3664  0.09090909  8.8565275
2622 Ntsc3667  0.09195402  7.7980533
2726 Ntsc3772  0.09302326  6.9063146
2741 Ntsc3787  0.06060606 -1.7731344
2812 Ntsc3858  0.06250000  2.4600895
2832 Ntsc3878  0.08695652 10.6694427
2888 Ntsc3934  0.00000000 -2.1141843
2916 Ntsc3963  0.02631579 -0.6694307
2952 Ntsc3999  0.09803922  7.6083105
2961 Ntsc4008  0.09090909  7.7631918
2969 Ntsc4016  0.08333333  4.6056272
2975 Ntsc4022  0.09230769  4.6913171
3027 Ntsc4074  0.00000000  9.1474929
3046 Ntsc4093  0.05555556  8.0189035
3101 Ntsc4148  0.07547170  8.5063847
3127 Ntsc4174  0.09722222  7.7285084
3156 Ntsc4203  0.08641975  6.8018276
3179 Ntsc4226  0.09433962  7.0392164
3269 Ntsc4316  0.09210526  0.9047310
3364 Ntsc4411  0.09567901 12.4895063
3432 Ntsc4479  0.10000000 11.3655406
3478 Ntsc4525  0.07518797  0.5623138
3496 Ntsc4543  0.09677419  5.1527024
3568 Ntsc4615  0.09677419  5.5618939
3618 Ntsc4665  0.08474576  8.4776371
3656 Ntsc4703  0.05405405 -0.5649052
3709 Ntsc4756  0.06250000  0.5621088
3712 Ntsc4759  0.00000000 -1.4184368
3759 Ntsc4806  0.07352941  6.1667244
3768 Ntsc4815  0.07954545  8.3940063
4144 Ntsc5191  0.05952381 11.0627570
4145 Ntsc5192  0.03630363 10.0584242
4236 Ntsc5283  0.09259259 10.1645344
4359 Ntsc5407  0.05882353 -1.9715081
4360 Ntsc5408  0.10000000 -2.2562386
4430 Ntsc5478  0.07500000  8.1727682
4461 Ntsc5509  0.04368175  4.3931849
4496 Ntsc5544  0.08333333  6.6554009
4500 Ntsc5548  0.10000000 10.6884907
4538 Ntsc5586  0.07575758  2.8314570
4777 Ntsc5825  0.09677419  0.1791708
4792 Ntsc5840  0.08333333 -1.8734399
4808 Ntsc5856  0.09708738  1.8965097
4931 Ntsc5979  0.09615385  6.4356904
5023 Ntsc6071  0.08000000  0.3564660
5029 Ntsc6077  0.05357143  0.6699458
5081 Ntsc6129  0.04545455  2.7758850
5149 Ntsc6197  0.09433962  0.5798925
5208 Ntsc6256  0.09459459  1.5572692
5261 Ntsc6309  0.05700000  9.0995136
5351 Ntsc6400  0.00000000  6.2693408
5490 Ntsc6539  0.05555556  0.2557334
5541 Ntsc6591  0.09259259  0.6308370
5558 Ntsc6608  0.10000000  2.5310888
5566 Ntsc6616  0.00000000 -1.6346769
5574 Ntsc6625  0.00000000  6.0053966
5630 Ntsc6681  0.07142857  3.4764484
5664 Ntsc6715  0.09282700  8.9864674
5666 Ntsc6717  0.09615385  9.5751878
5682 Ntsc6733  0.07246377  7.6813292
5696 Ntsc6747  0.04504505  7.6803934
5704 Ntsc6755  0.10000000  0.9112547
5756 Ntsc6807  0.07575758  0.9398912
5937 Ntsc6988  0.08333333  4.3521562
5961 Ntsc7012  0.00000000  7.8765062
5976 Ntsc7027  0.05084746  1.3089314
5997 Ntsc7048  0.00000000  7.4831628
6053 Ntsc7104  0.08620690  5.3130056
6068 Ntsc7119  0.00000000  0.4655400
6074 Ntsc7125  0.07651715  8.2802355
6078 Ntsc7129  0.09444444  5.4372313
6079 Ntsc7130  0.06516588 11.9178248
6099 Ntsc7150  0.08571429 11.1154627
6116 Ntsc7167  0.07692308  8.6361857
6120 Ntsc7171  0.05882353  3.8399153
6192 Ntsc7243  0.09090909  6.7177099
6378 Ntsc7430  0.09756098 11.7406402
6496 Ntsc7548  0.04347826 12.1616789
6627 Ntsc7679  0.09259259  4.1145024
6737 Ntsc7790  0.09536785 11.5706205
6743 Ntsc7796  0.05797101  0.1143213
6761 Ntsc7814  0.07142857  7.5238564
6796 Ntsc7849  0.06521739  5.0862509
6797 Ntsc7850  0.06225681 10.3217969
6833 Ntsc7886  0.10000000 -2.1608327
6855 Ntsc7908  0.07647059  5.5500423
6891 Ntsc7944  0.07142857  1.8717193
6993 Ntsc8046  0.07843137  2.0875966
7062 Ntsc8115  0.09756098  0.4067940
7070 Ntsc8123  0.00000000 -0.9621951
7071 Ntsc8124  0.08571429 -2.2565895
7075 Ntsc8128  0.06976744 -1.1822335
7081 Ntsc8134  0.09375000  7.4187733
7100 Ntsc8153  0.05882353  1.8219545
7107 Ntsc8160  0.04347826  8.4096306

$L10_BA_sex
       Geneid methylation expression
3    Ntsc1044  0.14423077  6.0416705
65   Ntsc1106  0.13636364 -0.9667542
81   Ntsc1122  0.09375000  0.9632704
97   Ntsc1138  0.00000000  9.3872718
134  Ntsc1175  0.00000000  8.7381023
142  Ntsc1183  0.14102564  0.4527300
170  Ntsc1211  0.13846154 10.0237530
193  Ntsc1234  0.00000000  6.8647783
205  Ntsc1246  0.09722222  2.0903150
241  Ntsc1282  0.11764706  9.0410857
381  Ntsc1422  0.14285714  8.5677054
385  Ntsc1426  0.00000000  5.3388733
398  Ntsc1439  0.14285714  6.2760356
411  Ntsc1453  0.13223140  0.1388997
458  Ntsc1500  0.09803922  8.6330459
552  Ntsc1594  0.08571429  7.2978773
557  Ntsc1599  0.14285714  6.9244871
663  Ntsc1705  0.11545624  1.8356482
668  Ntsc1710  0.12820513  1.5727465
684  Ntsc1726  0.14285714  3.1420601
696  Ntsc1738  0.14285714  3.3980471
701  Ntsc1743  0.08571429  0.0000000
734  Ntsc1776  0.11111111  8.7323561
739  Ntsc1781  0.09090909  9.6511682
978  Ntsc2020  0.11428571  8.8452575
1012 Ntsc2054  0.12371134  8.3337311
1034 Ntsc2076  0.13043478  9.4902854
1043 Ntsc2085  0.14285714  9.2841689
1082 Ntsc2124  0.09677419  7.3428541
1101 Ntsc2144  0.07692308 -2.0610803
1124 Ntsc2167  0.11363636  7.2077109
1168 Ntsc2211  0.11254019 11.0263023
1195 Ntsc2238  0.14285714  9.0772100
