$crassa_BA_sex
       Geneid methylation  expression
7095 Ntsc8148   0.5714286  7.74873710
7107 Ntsc8160   0.9565217  8.01902888

$crassa_sa_sex
       Geneid methylation expression
28   Ntsc1069   0.4255319 10.6788883
97   Ntsc1138   0.5000000  9.8092783
98   Ntsc1139   0.3888889  6.0238993
100  Ntsc1141   0.5000000  6.1900026
105  Ntsc1146   0.3978495  7.5132264
193  Ntsc1234   0.5000000  6.6331209
385  Ntsc1426   0.5000000  3.7190053
458  Ntsc1500   0.8202614  9.8661401
486  Ntsc1528   0.3800000  1.9014802
642  Ntsc1684   0.4230769  7.3766584
663  Ntsc1705   0.7914339  2.3694431
681  Ntsc1723   0.3725490  2.5049787
696  Ntsc1738   0.4857143  2.5216111
699  Ntsc1741   0.3743590  5.9852266
728  Ntsc1770   0.7500000 -2.2554851
768  Ntsc1810   0.4338235 12.5562802
842  Ntsc1884   0.3766234  7.2807231
1046 Ntsc2088   0.3794643 10.9275989
1168 Ntsc2211   0.8231511 12.4617486
1194 Ntsc2237   0.4516129  2.8584095
1259 Ntsc2302   0.3846154  9.4579851
1276 Ntsc2319   0.4210526  7.7759332
1284 Ntsc2327   0.3913043  9.1858786
1335 Ntsc2378   0.6250000 10.7621640
1389 Ntsc2432   0.3772455  8.3669126
1411 Ntsc2454   0.5000000  2.6255680
1454 Ntsc2497   0.3875000 10.0393289
1556 Ntsc2599   0.4042553  6.9290432
1563 Ntsc2606   0.5106383  6.6173213
1583 Ntsc2626   0.4311377  6.7789058
1667 Ntsc2710   0.5263158  5.9454790
1715 Ntsc2758   0.6236559  8.5199626
1776 Ntsc2819   0.3733333  6.2659104
1798 Ntsc2841   0.7623762 -0.7124533
1879 Ntsc2923   0.3863636  7.6458736
1977 Ntsc3022   0.4117647  9.0438788
2014 Ntsc3059   0.8635961 12.3400244
2057 Ntsc3102   0.6756272  6.7222825
2119 Ntsc3164   0.3873874  9.7724394
2239 Ntsc3284   0.3857143  5.9062426
2248 Ntsc3293   0.4444444  7.4835955
2302 Ntsc3347   0.7954545  6.7949958
2323 Ntsc3368   0.3750000  5.7611534
2341 Ntsc3386   0.3787879  9.9949893
2629 Ntsc3675   0.4301552 11.6620790
2648 Ntsc3694   0.4094755  9.1159983
3006 Ntsc4053   0.4202899  9.7370506
3017 Ntsc4064   0.3974359 12.0724905
3027 Ntsc4074   1.0000000  9.5761589
3364 Ntsc4411   0.7376543 12.3570335
3478 Ntsc4525   0.5488722  0.5562222
3483 Ntsc4530   0.3766234  9.2717152
3520 Ntsc4567   0.3723404  8.8691311
3718 Ntsc4765   0.3736264  8.0040027
3799 Ntsc4846   0.4566474 10.8633734
3803 Ntsc4850   0.3888889  8.2612859
3839 Ntsc4886   0.3787879 10.1422641
4145 Ntsc5192   0.4158416 10.5247840
4175 Ntsc5222   0.4103774  9.7241658
4185 Ntsc5232   0.3907563  0.6716360
4377 Ntsc5425   0.3913043  2.1701504
4471 Ntsc5519   0.3712871  8.6380125
4480 Ntsc5528   0.3928571  5.6361762
4485 Ntsc5533   0.3846154  8.1380132
4537 Ntsc5585   0.3969466 10.1887743
4659 Ntsc5707   0.4400000  7.9254757
4775 Ntsc5823   0.4137931  6.5558043
4817 Ntsc5865   0.3719677 10.6781756
4872 Ntsc5920   0.4232143 13.7246294
5002 Ntsc6050   0.4193548  9.0493835
5017 Ntsc6065   0.4893617  5.7173578
5091 Ntsc6139   0.3829787  7.1941745
5225 Ntsc6273   0.3803419 11.1756513
5261 Ntsc6309   0.6080000  8.8299447
5262 Ntsc6310   0.4736842  0.2503917
5351 Ntsc6400   0.5000000  5.7106880
5511 Ntsc6560   0.3882353 13.7809191
5541 Ntsc6591   0.4444444  0.7922307
5603 Ntsc6654   0.3846154  6.1810741
5636 Ntsc6687   0.3839286  9.1406941
5650 Ntsc6701   0.4666667  6.9283153
5664 Ntsc6715   0.5485232  9.7338772
5739 Ntsc6790   0.4081633  8.2620972
5766 Ntsc6817   0.4180556 10.2465431
5774 Ntsc6825   0.3719807 10.5739742
5784 Ntsc6835   0.4563758 10.4569565
5908 Ntsc6959   0.3834586 10.3977585
5915 Ntsc6966   0.3723404  6.8119386
5944 Ntsc6995   0.3764706  8.2166294
5960 Ntsc7011   0.4166667 10.7111718
6036 Ntsc7087   0.3852459  9.0115959
6074 Ntsc7125   0.9920844  7.3964691
6078 Ntsc7129   0.4833333  6.6390302
6079 Ntsc7130   0.8791469 10.7156099
6086 Ntsc7137   0.5000000 -2.3019018
6106 Ntsc7157   0.5000000  3.6104118
6162 Ntsc7213   0.3908046  8.1235086
6208 Ntsc7259   0.4133333  7.1897428
6496 Ntsc7548   0.6956522 12.5778964
6497 Ntsc7549   0.4055459 10.1383915
6726 Ntsc7779   0.4425087 11.3965669
6737 Ntsc7790   0.4604905 12.2070192
6795 Ntsc7848   0.4500000  3.3794029
6797 Ntsc7850   0.4241245 10.5703405
6838 Ntsc7891   0.4333333  2.3327340
6845 Ntsc7898   0.4000000  9.1996227
6855 Ntsc7908   0.4794118  5.8832715
6899 Ntsc7952   0.4000000 -2.3033795
6906 Ntsc7959   0.3734177  9.0672662
7107 Ntsc8160   0.9637681  8.0090181

$L1_BA_sex
       Geneid methylation expression
97   Ntsc1138   0.5000000  9.5586502
134  Ntsc1175   1.0000000  8.4960774
172  Ntsc1213   0.2911392  9.1833138
194  Ntsc1235   0.2959184  8.0201804
269  Ntsc1310   0.3142857  8.0168334
342  Ntsc1383   0.2945736  8.3874564
364  Ntsc1405   0.4444444  7.6579474
385  Ntsc1426   0.5000000  4.8620692
387  Ntsc1428   0.3043478  8.1192127
393  Ntsc1434   0.3448276  1.6740815
420  Ntsc1462   0.4285714 10.5646398
429  Ntsc1471   0.3269231  7.1783697
494  Ntsc1536   0.2962963  5.4012288
513  Ntsc1555   0.3164557  5.5361142
520  Ntsc1562   0.3809524  6.1927038
562  Ntsc1604   0.2912621  7.3733681
594  Ntsc1636   0.3157895  8.3817098
638  Ntsc1680   0.3571429  5.3916187
644  Ntsc1686   0.3157895 -0.6837554
660  Ntsc1702   0.2941176 -2.2558996
695  Ntsc1737   0.3055556 -1.6270993
728  Ntsc1770   0.7500000 -2.2539710
750  Ntsc1792   0.3333333  7.7667163
751  Ntsc1793   0.3070866  8.8619653
800  Ntsc1842   0.3131313  6.8072358
936  Ntsc1978   0.3006135  5.9502221
1079 Ntsc2121   0.3307692  6.4605611
1190 Ntsc2233   0.3333333  8.7055447
1293 Ntsc2336   0.3007519  9.2003308
1327 Ntsc2370   0.2932331  9.8587373
1332 Ntsc2375   0.3333333  7.3497948
1343 Ntsc2386   0.2929936  4.2413694
1411 Ntsc2454   0.5000000  2.0902425
1534 Ntsc2577   0.3516484  7.4803695
1556 Ntsc2599   0.3191489  6.9042526
1571 Ntsc2614   0.3076923  6.1121452
1680 Ntsc2723   0.3274336  4.2962717
1763 Ntsc2806   0.3090909  7.2528986
1778 Ntsc2821   0.3018868 10.1483190
1833 Ntsc2877   0.3114754 -0.7749505
2055 Ntsc3100   0.3108108  9.4847798
2092 Ntsc3137   0.2957746 13.8869273
2241 Ntsc3286   0.2929293  9.6593931
2248 Ntsc3293   0.4444444  7.5739968
2249 Ntsc3294   0.2941176  7.5961843
2341 Ntsc3386   0.3636364  9.8326134
2356 Ntsc3401   0.4210526 10.5210549
2437 Ntsc3482   0.3068182  9.4266120
2490 Ntsc3535   0.2929936  8.7797741
2591 Ntsc3636   0.2962963  9.2022948
2608 Ntsc3653   0.3134328  7.2705340
2987 Ntsc4034   0.3055556  7.8785099
3006 Ntsc4053   0.3043478  9.8074721
3027 Ntsc4074   1.0000000  9.1226376
3031 Ntsc4078   0.3021978  9.5461740
3160 Ntsc4207   0.2916667  2.6081469
3164 Ntsc4211   0.3243243  1.4240662
3189 Ntsc4236   0.2948718  8.0141320
3252 Ntsc4299   0.3224044  8.0425758
3299 Ntsc4346   0.3529412  8.8791414
3337 Ntsc4384   0.5000000  7.3455170
3396 Ntsc4443   0.3636364  7.3954691
3398 Ntsc4445   0.3231707  7.2215613
3528 Ntsc4575   0.3043478  7.4695834
3557 Ntsc4604   0.3108108 -0.5088930
3591 Ntsc4638   0.3302752  8.0682451
3666 Ntsc4713   0.2987013  2.2416204
3793 Ntsc4840   0.3157895  8.8809366
3891 Ntsc4938   0.2941176  7.3693268
3903 Ntsc4950   0.2921348  8.1487933
4013 Ntsc5060   0.3333333  7.6386167
4049 Ntsc5096   0.2920354  9.2826303
4095 Ntsc5142   0.3333333  4.3764742
4245 Ntsc5292   0.3414634  9.6051954
4254 Ntsc5302   0.2947368 10.2669063
4320 Ntsc5368   0.3132530  9.9126014
4545 Ntsc5593   0.3461538  5.6889209
4629 Ntsc5677   0.3333333  9.7478554
4659 Ntsc5707   0.3200000  7.7747189
4664 Ntsc5712   0.2947368  7.9311299
4764 Ntsc5812   0.3157895 -0.9746399
4796 Ntsc5844   0.3414634  4.1024813
4966 Ntsc6014   0.3243243  8.1258272
4998 Ntsc6046   0.3058824  5.6343429
5053 Ntsc6101   0.3039648  8.5731086
5094 Ntsc6142   0.2919708  8.5565886
5113 Ntsc6161   0.3636364  9.5596335
5220 Ntsc6268   0.2923977  7.3129804
5239 Ntsc6287   0.4473684  7.2019970
5297 Ntsc6345   0.3111111  7.5788213
5335 Ntsc6383   0.3437500  7.8122957
5624 Ntsc6675   0.3086420  8.4836439
5705 Ntsc6756   0.2950820  7.1090017
5908 Ntsc6959   0.3082707 10.0769136
5915 Ntsc6966   0.3191489  6.0351124
5979 Ntsc7030   0.2964427  9.8260698
5998 Ntsc7049   0.3333333 -2.0616630
6020 Ntsc7071   0.3043478 10.9002611
6086 Ntsc7137   0.5000000 -2.3036929
6106 Ntsc7157   0.5000000  3.5417011
6117 Ntsc7168   0.3103448 12.0398613
6264 Ntsc7315   0.2957746  8.4426817
6269 Ntsc7320   0.3684211  6.0480290
6315 Ntsc7367   0.3714286 -2.0668693
6329 Ntsc7381   0.3048780 12.6329144
6513 Ntsc7565   0.3030303 -0.6466791
6604 Ntsc7656   0.3037975 -0.9017405
6616 Ntsc7668   0.3181818  5.7900130
6745 Ntsc7798   0.3492063  3.9300851
6768 Ntsc7821   0.3196721  1.2893435
6795 Ntsc7848   0.3000000  3.3259816
6834 Ntsc7887   0.2972973 -2.0135901
6883 Ntsc7936   0.4000000  6.7267763
6946 Ntsc7999   0.3513514  0.4375306
6964 Ntsc8017   0.5000000  4.0831330
7016 Ntsc8069   0.3188406  6.3608684
7023 Ntsc8076   0.3272727  7.3292651
7095 Ntsc8148   0.4285714  6.9296710

$L1_sa_sex
       Geneid methylation  expression
134  Ntsc1175   1.0000000  8.97954323
193  Ntsc1234   0.5000000  7.92492186
269  Ntsc1310   0.2666667  8.22712434
325  Ntsc1366   0.2640449  6.92501434
337  Ntsc1378   0.2769231  3.58450018
420  Ntsc1462   0.2857143 11.20449074
429  Ntsc1471   0.2692308  7.33052027
495  Ntsc1537   0.2931034  1.27428229
557  Ntsc1599   0.2857143  7.37092158
686  Ntsc1728   0.2673267  8.02325678
692  Ntsc1734   0.3076923  7.01613108
705  Ntsc1747   0.2812500 -1.16367881
728  Ntsc1770   0.7500000 -2.25624746
751  Ntsc1793   0.2677165  8.35996567
776  Ntsc1818   0.2745098  6.80499683
808  Ntsc1850   0.3043478  0.44862770
819  Ntsc1861   0.2666667  4.97119959
878  Ntsc1920   0.2871287 -2.39938279
891  Ntsc1933   0.2647059  2.35259259
914  Ntsc1956   0.2692308  9.38916322
956  Ntsc1998   0.2684825  7.95026069
960  Ntsc2002   0.2818182  8.78668571
970  Ntsc2012   0.2653061  9.45119450
1085 Ntsc2128   0.2826087  8.53659870
1090 Ntsc2133   0.2736842  8.39449692
1098 Ntsc2141   0.2812500  8.54941609
1157 Ntsc2200   0.3101604  8.46717397
1177 Ntsc2220   0.2786885  8.83690049
1179 Ntsc2222   0.2748092  8.93760312
1190 Ntsc2233   0.3333333  8.73374047
1223 Ntsc2266   0.2738095  1.42198297
1338 Ntsc2381   0.2686567  7.88462350
1356 Ntsc2399   0.2684564  7.82145790
1377 Ntsc2420   0.3513514  2.21515914
1401 Ntsc2444   0.2758621  0.80565904
1404 Ntsc2447   0.2916667  7.82396904
1434 Ntsc2477   0.2936508  9.25091416
1454 Ntsc2497   0.2750000  9.65385843
1482 Ntsc2525   0.2702703  7.57411937
1640 Ntsc2683   0.2926829 -1.97118062
1778 Ntsc2821   0.2893082 10.17726252
2055 Ntsc3100   0.2702703  9.35555240
2248 Ntsc3293   0.6666667  7.26756178
2303 Ntsc3348   0.2786885  9.01193982
2356 Ntsc3401   0.2982456 10.49178214
2490 Ntsc3535   0.2675159  8.76518631
2491 Ntsc3536   0.2656250  9.45847161
2608 Ntsc3653   0.3134328  7.38108365
2615 Ntsc3660   0.3119266  5.99709529
2669 Ntsc3715   0.2704082  9.99518265
2783 Ntsc3829   0.3333333  3.55956275
2876 Ntsc3922   0.2705314  5.94425688
3063 Ntsc4110   0.2807018 10.14713115
3154 Ntsc4201   0.3000000  7.53410064
3186 Ntsc4233   0.2905983  6.13762645
3252 Ntsc4299   0.2677596  8.39320015
3287 Ntsc4334   0.2857143  8.71107551
3299 Ntsc4346   0.2843137  9.02200369
3391 Ntsc4438   0.2666667  3.26128074
3397 Ntsc4444   0.2650602 12.17072548
3398 Ntsc4445   0.2682927  7.46728173
3520 Ntsc4567   0.2978723  8.55480387
3540 Ntsc4587   0.2800000  7.78977126
3575 Ntsc4622   0.2790698  3.40295887
3615 Ntsc4662   0.2870370  7.02190135
3663 Ntsc4710   0.3076923 -0.83515373
3666 Ntsc4713   0.2857143  2.36495053
3780 Ntsc4827   0.2815534  6.84175185
3796 Ntsc4843   0.3636364  1.92036987
4138 Ntsc5185   0.2758621  7.32380214
4267 Ntsc5315   0.3076923  7.86568347
4300 Ntsc5348   0.2649254 10.20511271
4364 Ntsc5412   0.2711864  6.60224841
4366 Ntsc5414   0.2758621  5.57470586
4448 Ntsc5496   0.2823529  0.43406519
4545 Ntsc5593   0.3461538  6.26728801
4629 Ntsc5677   0.3333333  9.64136158
4664 Ntsc5712   0.2947368  8.05340893
4688 Ntsc5736   0.3125000  7.54247449
4724 Ntsc5772   0.2684211  9.35852766
4776 Ntsc5824   0.2962963  1.71474140
4934 Ntsc5982   0.2839506 -2.25627038
5042 Ntsc6090   0.2727273  5.22368044
5096 Ntsc6144   1.0000000  7.26891619
5155 Ntsc6203   0.2692308  7.04089052
5220 Ntsc6268   0.2865497  7.29902078
5239 Ntsc6287   0.2894737  7.79592437
5248 Ntsc6296   0.3421053  6.27053364
5297 Ntsc6345   0.3000000  7.90915667
5335 Ntsc6383   0.3125000  8.04835080
5422 Ntsc6471   0.2763158  8.50757079
5448 Ntsc6497   0.2680412  9.77877210
5534 Ntsc6584   0.2727273  4.70807985
5560 Ntsc6610   0.3200000  0.00211245
5594 Ntsc6645   0.2830189  6.18815191
5650 Ntsc6701   0.2666667  5.38632255
5733 Ntsc6784   0.2941176  6.95098042
5818 Ntsc6869   0.2650602 -2.35168132
5870 Ntsc6921   0.3480000  0.61089279
6018 Ntsc7069   0.2820513 -0.91760633
6064 Ntsc7115   0.2666667  3.74967919
6092 Ntsc7143   0.2671756  7.72564687
6106 Ntsc7157   0.5000000  3.79314494
6162 Ntsc7213   0.2758621  7.94446618
6177 Ntsc7228   0.2747253  6.82068686
6208 Ntsc7259   0.3066667  7.41669049
6251 Ntsc7302   0.2682927  9.78409828
6307 Ntsc7359   0.3636364  8.87879127
6408 Ntsc7460   0.2652330  9.83685696
6599 Ntsc7651   0.2688172  6.61514571
6631 Ntsc7683   0.2675159  6.45098589
6704 Ntsc7757   0.2888889  8.33590732
6745 Ntsc7798   0.3333333  3.55933645
6768 Ntsc7821   0.2868852  1.01725646
6922 Ntsc7975   0.3333333 -2.01771895
6933 Ntsc7986   0.3333333  0.85589755
6963 Ntsc8016   0.2844828  2.20895216
6964 Ntsc8017   0.5000000  3.74452544
6980 Ntsc8033   0.2671756  1.87721851
6983 Ntsc8036   0.2931034 -0.54333898
7054 Ntsc8107   0.2696629  9.49842530

$L10_BA_sex
       Geneid methylation expression
100  Ntsc1141   0.3333333  5.7486413
102  Ntsc1143   0.3354839  4.7606752
191  Ntsc1232   0.3437500  9.2688243
222  Ntsc1263   0.3236715  9.0622146
269  Ntsc1310   0.3523810  8.0261315
349  Ntsc1390   0.3267327 10.5210174
364  Ntsc1405   0.3333333  7.7310223
387  Ntsc1428   0.3478261  7.9809335
420  Ntsc1462   0.5714286  9.6585201
472  Ntsc1514   0.3259259  6.7511715
493  Ntsc1535   0.3292683  6.8466106
520  Ntsc1562   0.3809524  6.2670111
572  Ntsc1614   0.4230769  3.8058162
594  Ntsc1636   0.3684211  8.4982668
681  Ntsc1723   0.3235294  2.4877913
689  Ntsc1731   0.3375527 10.0984489
695  Ntsc1737   0.3888889 -1.6439232
728  Ntsc1770   0.7500000 -2.2513338
743  Ntsc1785   0.3275862  6.4625095
808  Ntsc1850   0.4782609  0.5760267
819  Ntsc1861   0.4666667  5.5556055
822  Ntsc1864   0.3225806  6.8267134
825  Ntsc1867   0.3406593  0.4289202
836  Ntsc1878   0.3243243  6.0075989
844  Ntsc1886   0.3333333  7.1621176
846  Ntsc1888   0.3255814  9.0802802
1039 Ntsc2081   0.3488372  8.1151800
1085 Ntsc2128   0.3478261  7.0291770
1176 Ntsc2219   0.3404255  8.5697982
1177 Ntsc2220   0.3606557  8.9642424
1190 Ntsc2233   0.5000000  8.7613413
1259 Ntsc2302   0.3307692  9.5718791
1336 Ntsc2379   0.3538462  5.9974539
1343 Ntsc2386   0.3503185  4.2235596
1371 Ntsc2414   0.3387097  7.4886079
1377 Ntsc2420   0.3243243  4.1016827
1420 Ntsc2463   0.3684211  0.0000000
1424 Ntsc2467   0.3365854  8.5742025
1454 Ntsc2497   0.3500000  9.6402767
1456 Ntsc2499   0.3225806  6.3336189
1498 Ntsc2541   0.3355705  7.7865820
1509 Ntsc2552   0.3589744  6.6063657
1518 Ntsc2561   0.3229167  7.2347388
1640 Ntsc2683   0.3252033 -1.9698643
1680 Ntsc2723   0.3716814  3.3228484
1728 Ntsc2771   0.3297872  9.3638671
1735 Ntsc2778   0.3448276  7.1038258
1979 Ntsc3024   0.3333333  9.1654789
2248 Ntsc3293   0.5555556  7.1105211
2341 Ntsc3386   0.4090909  9.8767705
2406 Ntsc3451   0.3734940  9.3806190
2591 Ntsc3636   0.3386243  9.3635718
2662 Ntsc3708   0.3227273  9.5360579
2690 Ntsc3736   0.3716216  9.2269169
2718 Ntsc3764   0.3577586  8.3569594
2833 Ntsc3879   0.3409091  6.3773726
2868 Ntsc3914   0.3471074  8.9323136
2876 Ntsc3922   0.3285024  5.3221698
2889 Ntsc3935   0.5000000  1.3217863
2913 Ntsc3960   0.3333333  5.3840376
3006 Ntsc4053   0.3623188  9.9380698
3027 Ntsc4074   1.0000000  9.8598499
3147 Ntsc4194   0.3846154  4.5990829
3164 Ntsc4211   0.3243243  1.3894970
3252 Ntsc4299   0.3387978  7.6914526
3287 Ntsc4334   0.3238095  8.2453551
3299 Ntsc4346   0.3235294  8.4035937
3337 Ntsc4384   0.5000000  6.8598236
3379 Ntsc4426   0.3644860  3.8344799
3509 Ntsc4556   0.3617021  8.1486338
3519 Ntsc4566   0.3245614  7.8552306
3540 Ntsc4587   0.3333333  8.2222422
3585 Ntsc4632   0.3421053  9.0970213
3637 Ntsc4684   0.3272727  4.0530440
3654 Ntsc4701   0.3835616  8.1992008
3682 Ntsc4729   0.3736264  9.5979642
3711 Ntsc4758   0.3333333  8.3804701
3719 Ntsc4766   0.3285199 10.6716545
3800 Ntsc4847   0.3247863 10.2846686
3844 Ntsc4891   0.3238636 12.4104088
3860 Ntsc4907   0.3500000 11.7811108
3899 Ntsc4946   0.3361345 11.1389192
4046 Ntsc5093   0.3255814 10.1328061
4093 Ntsc5140   0.3333333  8.4253862
4160 Ntsc5207   0.3333333  8.5770108
4267 Ntsc5315   0.3846154  9.0848284
4330 Ntsc5378   0.3243243  7.3282718
4465 Ntsc5513   0.3333333  8.9504598
4629 Ntsc5677   0.3333333 10.1311779
4643 Ntsc5691   0.3333333  7.7493477
4664 Ntsc5712   0.3368421  7.7794275
4811 Ntsc5859   0.3870968 -1.6594755
4838 Ntsc5886   0.3261456  8.4876944
4998 Ntsc6046   0.3529412  5.2635801
5017 Ntsc6065   0.3617021  5.6071112
5063 Ntsc6111   0.3333333  8.6018988
5074 Ntsc6122   0.3333333  9.8031822
5081 Ntsc6129   0.3636364  2.4962612
5113 Ntsc6161   0.3636364  9.7687475
5121 Ntsc6169   0.3333333  9.1421994
5199 Ntsc6247   0.3770492  7.1854276
5262 Ntsc6310   0.3684211  0.2897694
5266 Ntsc6314   0.3388430  5.9311817
5335 Ntsc6383   0.3437500  7.8618521
5527 Ntsc6576   0.3253589  4.4688929
5586 Ntsc6637   0.3291139 10.4269624
5594 Ntsc6645   0.3396226  6.7474765
5603 Ntsc6654   0.4230769  5.0944662
5620 Ntsc6671   0.3478261  8.5398470
5660 Ntsc6711   0.3333333  7.5106119
5662 Ntsc6713   0.3478261  9.7090061
5739 Ntsc6790   0.3367347  8.3717685
5796 Ntsc6847   0.3280632  8.8022670
5836 Ntsc6887   0.3600000  1.1622835
5882 Ntsc6933   0.3302752  4.4943141
5942 Ntsc6993   0.3373494  9.9455758
5991 Ntsc7042   0.3750000  4.7064974
6018 Ntsc7069   0.3333333 -0.9558921
6034 Ntsc7085   0.3684211  5.9187203
6086 Ntsc7137   0.5000000 -2.3034079
6106 Ntsc7157   0.5000000  4.0994399
6108 Ntsc7159   0.3407821  6.8427672
6162 Ntsc7213   0.3448276  8.4616275
6177 Ntsc7228   0.3406593  6.8582307
6269 Ntsc7320   0.3684211  6.8522987
6307 Ntsc7359   0.4545455  9.3312290
6518 Ntsc7570   0.3557692  6.3044725
6584 Ntsc7636   0.3523810 10.3482675
6631 Ntsc7683   0.3248408  7.8065152
6686 Ntsc7739   0.3373494  6.8190758
6795 Ntsc7848   0.3500000  3.3285927
6834 Ntsc7887   0.4054054 -2.0125662
6839 Ntsc7892   0.4285714  9.6263925
6933 Ntsc7986   0.3333333  0.9251283
6964 Ntsc8017   0.5000000  3.5729294
6990 Ntsc8043   0.3888889 10.6545194
7020 Ntsc8073   0.3548387  8.9777099
7028 Ntsc8081   0.3253012  3.6029240
7047 Ntsc8100   0.3448276  7.2236906
7095 Ntsc8148   0.4285714  6.6109871

$L10_sa_sex
       Geneid methylation expression
66   Ntsc1107   0.3201754  8.9652529
100  Ntsc1141   0.3333333  6.7820085
134  Ntsc1175   1.0000000  9.4837223
191  Ntsc1232   0.3203125  8.6043664
241  Ntsc1282   0.3529412  9.2176348
264  Ntsc1305   0.3172043  7.1200403
287  Ntsc1328   0.3357143  6.7541321
334  Ntsc1375   0.3207547  7.2231181
342  Ntsc1383   0.3178295  7.8813127
387  Ntsc1428   0.3913043  7.9108549
404  Ntsc1445   0.3333333 -2.2085699
418  Ntsc1460   0.3513514  6.5331929
