Geneid	Locus	Namespace	GO.ID	GO.term	pubMedId	EvidenceCode
Ntsc5796	NCU00043	molecular_function	GO:0004721	phosphoprotein phosphatase activity	14871927	IMP: Inferred from Mutant Phenotype
Ntsc5794	NCU00050	cellular_component	GO:0005739	mitochondrion	21145408	IDA: Inferred from Direct Assay
Ntsc5781	NCU00088	biological_process	GO:0006417	regulation of translation	None	ISS: Inferred from Sequence or Structural Similarity
Ntsc5781	NCU00088	biological_process	GO:0006470	protein dephosphorylation	None	ISS: Inferred from Sequence or Structural Similarity
Ntsc5781	NCU00088	biological_process	GO:0016576	histone dephosphorylation	None	ISS: Inferred from Sequence or Structural Similarity
Ntsc5781	NCU00088	cellular_component	GO:0005634	nucleus	None	ISS: Inferred from Sequence or Structural Similarity
Ntsc5781	NCU00088	cellular_component	GO:0005737	cytoplasm	None	ISS: Inferred from Sequence or Structural Similarity
Ntsc5781	NCU00088	molecular_function	GO:0003869	4-nitrophenylphosphatase activity	None	ISS: Inferred from Sequence or Structural Similarity
Ntsc5781	NCU00088	molecular_function	GO:0004035	alkaline phosphatase activity	None	ISS: Inferred from Sequence or Structural Similarity
Ntsc5774	NCU00090	biological_process	GO:0010446	response to alkalinity	22952943	IMP: Inferred from Mutant Phenotype
Ntsc5774	NCU00090	biological_process	GO:0040009	regulation of growth rate	22952943	IMP: Inferred from Mutant Phenotype
Ntsc5772	NCU00103	biological_process	GO:0006412	translation	16451194	IC: Inferred by Curator
Ntsc5772	NCU00103	cellular_component	GO:0005761	mitochondrial ribosome	21145408	IDA: Inferred from Direct Assay
Ntsc5772	NCU00103	cellular_component	GO:0005762	mitochondrial large ribosomal subunit	16451194	IPI: Inferred from Physical Interaction
Ntsc5772	NCU00103	molecular_function	GO:0003735	structural constituent of ribosome	16451194	IPI: Inferred from Physical Interaction
Ntsc8014	NCU00105	biological_process	GO:0006364	rRNA processing	None	ISS: Inferred from Sequence or Structural Similarity
Ntsc8014	NCU00105	biological_process	GO:0042273	ribosomal large subunit biogenesis	None	ISS: Inferred from Sequence or Structural Similarity
Ntsc8014	NCU00105	cellular_component	GO:0005730	nucleolus	None	ISS: Inferred from Sequence or Structural Similarity
Ntsc8014	NCU00105	cellular_component	GO:0022625	cytosolic large ribosomal subunit	None	ISS: Inferred from Sequence or Structural Similarity
Ntsc5771	NCU00106	biological_process	GO:0006561	proline biosynthetic process	None	ISS: Inferred from Sequence or Structural Similarity
Ntsc5771	NCU00106	cellular_component	GO:0005737	cytoplasm	None	ISS: Inferred from Sequence or Structural Similarity
Ntsc5771	NCU00106	molecular_function	GO:0004349	glutamate 5-kinase activity	None	ISS: Inferred from Sequence or Structural Similarity
Ntsc5775	NCU00111	biological_process	GO:0009416	response to light stimulus	19262566	IEP: Inferred from Expression Pattern
Ntsc5769	NCU00114	cellular_component	GO:0005761	mitochondrial ribosome	21145408	IDA: Inferred from Direct Assay
Ntsc2009	NCU00122	cellular_component	GO:0005737	cytoplasm	None	ISS: Inferred from Sequence or Structural Similarity
Ntsc2009	NCU00122	cellular_component	GO:0005840	ribosome	None	ISS: Inferred from Sequence or Structural Similarity
Ntsc2009	NCU00122	molecular_function	GO:0004177	aminopeptidase activity	None	ISS: Inferred from Sequence or Structural Similarity
Ntsc5693	NCU00132	biological_process	GO:0009416	response to light stimulus	19262566	IEP: Inferred from Expression Pattern
Ntsc5728	NCU00133	biological_process	GO:0006261	DNA-dependent DNA replication	None	ISS: Inferred from Sequence or Structural Similarity
Ntsc5728	NCU00133	biological_process	GO:0006281	DNA repair	None	ISS: Inferred from Sequence or Structural Similarity
Ntsc5728	NCU00133	biological_process	GO:0006351	transcription, DNA-dependent	None	ISS: Inferred from Sequence or Structural Similarity
Ntsc5728	NCU00133	biological_process	GO:0007059	chromosome segregation	None	ISS: Inferred from Sequence or Structural Similarity
Ntsc5728	NCU00133	biological_process	GO:0030702	chromatin silencing at centromere	None	ISS: Inferred from Sequence or Structural Similarity
Ntsc5728	NCU00133	cellular_component	GO:0005634	nucleus	None	ISS: Inferred from Sequence or Structural Similarity
Ntsc5728	NCU00133	cellular_component	GO:0005829	cytosol	None	ISS: Inferred from Sequence or Structural Similarity
Ntsc5728	NCU00133	cellular_component	GO:0035101	FACT complex	None	ISS: Inferred from Sequence or Structural Similarity
Ntsc5728	NCU00133	molecular_function	GO:0005515	protein binding	None	ISS: Inferred from Sequence or Structural Similarity
Ntsc5761	NCU00138	biological_process	GO:0030584	sporocarp development	15186425	IMP: Inferred from Mutant Phenotype
Ntsc5761	NCU00138	biological_process	GO:0043577	chemotropism	15186425	IMP: Inferred from Mutant Phenotype
Ntsc5691	NCU00145	biological_process	GO:0000070	mitotic sister chromatid segregation	None	ISS: Inferred from Sequence or Structural Similarity
Ntsc5691	NCU00145	biological_process	GO:0030702	chromatin silencing at centromere	None	ISS: Inferred from Sequence or Structural Similarity
Ntsc5691	NCU00145	biological_process	GO:0031508	centromeric heterochromatin formation	None	ISS: Inferred from Sequence or Structural Similarity
Ntsc5691	NCU00145	cellular_component	GO:0000779	condensed chromosome, centromeric region	None	ISS: Inferred from Sequence or Structural Similarity
Ntsc5691	NCU00145	cellular_component	GO:0000939	condensed chromosome inner kinetochore	None	ISS: Inferred from Sequence or Structural Similarity
Ntsc5691	NCU00145	cellular_component	GO:0005634	nucleus	None	ISS: Inferred from Sequence or Structural Similarity
Ntsc5691	NCU00145	molecular_function	GO:0005515	protein binding	None	ISS: Inferred from Sequence or Structural Similarity
Ntsc5760	NCU00153	biological_process	GO:0009847	spore germination	12556227	IMP: Inferred from Mutant Phenotype
Ntsc5760	NCU00153	cellular_component	GO:0005743	mitochondrial inner membrane	12556227	IDA: Inferred from Direct Assay
Ntsc5760	NCU00153	cellular_component	GO:0031966	mitochondrial membrane	21145408	IDA: Inferred from Direct Assay
Ntsc5760	NCU00153	molecular_function	GO:0003959	NADPH dehydrogenase activity	12556227	IMP: Inferred from Mutant Phenotype
Ntsc5682	NCU00183	cellular_component	GO:0005739	mitochondrion	21145408	IDA: Inferred from Direct Assay
Ntsc5681	NCU00188	biological_process	GO:0000909	sporocarp development involved in sexual reproduction	21965514	IMP: Inferred from Mutant Phenotype
Ntsc5681	NCU00188	biological_process	GO:0006970	response to osmotic stress	21965514	IMP: Inferred from Mutant Phenotype
Ntsc5681	NCU00188	biological_process	GO:0009651	response to salt stress	21965514	IMP: Inferred from Mutant Phenotype
Ntsc5681	NCU00188	biological_process	GO:0030437	ascospore formation	21965514	IMP: Inferred from Mutant Phenotype
Ntsc5681	NCU00188	biological_process	GO:0030448	hyphal growth	21965514	IMP: Inferred from Mutant Phenotype
Ntsc5681	NCU00188	biological_process	GO:0070787	conidiophore development	21965514	IMP: Inferred from Mutant Phenotype
Ntsc5756	NCU00198	biological_process	GO:0040009	regulation of growth rate	14668492	IMP: Inferred from Mutant Phenotype
Ntsc5756	NCU00198	biological_process	GO:0045040	protein import into mitochondrial outer membrane	14668492	IPI: Inferred from Physical Interaction
Ntsc5756	NCU00198	cellular_component	GO:0005758	mitochondrial intermembrane space	14668492	IDA: Inferred from Direct Assay
Ntsc5756	NCU00198	cellular_component	GO:0042719	mitochondrial intermembrane space protein transporter complex	14668492	IPI: Inferred from Physical Interaction
Ntsc5756	NCU00198	molecular_function	GO:0008565	protein transporter activity	14668492	IDA: Inferred from Direct Assay
Ntsc5678	NCU00202	biological_process	GO:0007015	actin filament organization	None	ISS: Inferred from Sequence or Structural Similarity
Ntsc5678	NCU00202	biological_process	GO:0007017	microtubule-based process	None	ISS: Inferred from Sequence or Structural Similarity
Ntsc5678	NCU00202	biological_process	GO:0009847	spore germination	22693603	IMP: Inferred from Mutant Phenotype
Ntsc5678	NCU00202	biological_process	GO:0030036	actin cytoskeleton organization	22693603	IMP: Inferred from Mutant Phenotype
Ntsc5678	NCU00202	biological_process	GO:0030100	regulation of endocytosis	22693603	IMP: Inferred from Mutant Phenotype
Ntsc5678	NCU00202	biological_process	GO:0030448	hyphal growth	22693603	IMP: Inferred from Mutant Phenotype
Ntsc5678	NCU00202	biological_process	GO:0034316	negative regulation of Arp2/3 complex-mediated actin nucleation	None	ISS: Inferred from Sequence or Structural Similarity
Ntsc5678	NCU00202	biological_process	GO:0048315	conidium formation	22693603	IMP: Inferred from Mutant Phenotype
Ntsc5678	NCU00202	biological_process	GO:0051666	actin cortical patch localization	None	ISS: Inferred from Sequence or Structural Similarity
Ntsc5678	NCU00202	biological_process	GO:0071555	cell wall organization	22693603	IMP: Inferred from Mutant Phenotype
Ntsc5678	NCU00202	cellular_component	GO:0005885	Arp2/3 protein complex	None	ISS: Inferred from Sequence or Structural Similarity
Ntsc5678	NCU00202	cellular_component	GO:0030479	actin cortical patch	None	ISS: Inferred from Sequence or Structural Similarity
Ntsc5678	NCU00202	cellular_component	GO:0030479	actin cortical patch	22693603	IDA: Inferred from Direct Assay
Ntsc5678	NCU00202	molecular_function	GO:0008017	microtubule binding	None	ISS: Inferred from Sequence or Structural Similarity
Ntsc5678	NCU00202	molecular_function	GO:0030674	protein binding, bridging	None	ISS: Inferred from Sequence or Structural Similarity
Ntsc5678	NCU00202	molecular_function	GO:0051015	actin filament binding	None	ISS: Inferred from Sequence or Structural Similarity
Ntsc5754	NCU00203	biological_process	GO:0006348	chromatin silencing at telomere	19014414	IMP: Inferred from Mutant Phenotype
Ntsc5754	NCU00203	biological_process	GO:0009416	response to light stimulus	19262566	IEP: Inferred from Expression Pattern
Ntsc5754	NCU00203	biological_process	GO:0016575	histone deacetylation	19014414	IMP: Inferred from Mutant Phenotype
Ntsc5716	NCU00210	biological_process	GO:0000398	nuclear mRNA splicing, via spliceosome	None	ISS: Inferred from Sequence or Structural Similarity
Ntsc5716	NCU00210	cellular_component	GO:0000243	commitment complex	None	ISS: Inferred from Sequence or Structural Similarity
Ntsc5716	NCU00210	cellular_component	GO:0005846	nuclear cap binding complex	None	ISS: Inferred from Sequence or Structural Similarity
Ntsc5716	NCU00210	molecular_function	GO:0000339	RNA cap binding	None	ISS: Inferred from Sequence or Structural Similarity
Ntsc5714	NCU00216	cellular_component	GO:0005739	mitochondrion	None	ISS: Inferred from Sequence or Structural Similarity
Ntsc5714	NCU00216	cellular_component	GO:0005741	mitochondrial outer membrane	None	ISS: Inferred from Sequence or Structural Similarity
Ntsc5714	NCU00216	cellular_component	GO:0005792	microsome	None	ISS: Inferred from Sequence or Structural Similarity
Ntsc5714	NCU00216	molecular_function	GO:0004128	cytochrome-b5 reductase activity	None	ISS: Inferred from Sequence or Structural Similarity
Ntsc5713	NCU00218	biological_process	GO:0007021	tubulin complex assembly	None	ISS: Inferred from Sequence or Structural Similarity
Ntsc5713	NCU00218	molecular_function	GO:0005095	GTPase inhibitor activity	None	ISS: Inferred from Sequence or Structural Similarity
Ntsc5674	NCU00243	biological_process	GO:0000902	cell morphogenesis	None	ISS: Inferred from Sequence or Structural Similarity
Ntsc5674	NCU00243	biological_process	GO:0007018	microtubule-based movement	None	ISS: Inferred from Sequence or Structural Similarity
Ntsc5674	NCU00243	biological_process	GO:0007088	regulation of mitosis	None	ISS: Inferred from Sequence or Structural Similarity
Ntsc5674	NCU00243	biological_process	GO:0008104	protein localization	None	ISS: Inferred from Sequence or Structural Similarity
Ntsc5674	NCU00243	biological_process	GO:0008608	attachment of spindle microtubules to kinetochore	None	ISS: Inferred from Sequence or Structural Similarity
Ntsc5674	NCU00243	biological_process	GO:0046785	microtubule polymerization	None	ISS: Inferred from Sequence or Structural Similarity
Ntsc5674	NCU00243	biological_process	GO:0051225	spindle assembly	None	ISS: Inferred from Sequence or Structural Similarity
Ntsc5674	NCU00243	cellular_component	GO:0000235	astral microtubule	None	ISS: Inferred from Sequence or Structural Similarity
Ntsc5674	NCU00243	cellular_component	GO:0005737	cytoplasm	None	ISS: Inferred from Sequence or Structural Similarity
Ntsc5674	NCU00243	cellular_component	GO:0005828	kinetochore microtubule	None	ISS: Inferred from Sequence or Structural Similarity
Ntsc5674	NCU00243	cellular_component	GO:0005881	cytoplasmic microtubule	None	ISS: Inferred from Sequence or Structural Similarity
Ntsc5674	NCU00243	cellular_component	GO:0015630	microtubule cytoskeleton	None	ISS: Inferred from Sequence or Structural Similarity
Ntsc5674	NCU00243	cellular_component	GO:0051233	spindle midzone	None	ISS: Inferred from Sequence or Structural Similarity
Ntsc5674	NCU00243	cellular_component	GO:0051285	cell cortex of cell tip	None	ISS: Inferred from Sequence or Structural Similarity
Ntsc5674	NCU00243	molecular_function	GO:0001671	ATPase activator activity	None	ISS: Inferred from Sequence or Structural Similarity
Ntsc5674	NCU00243	molecular_function	GO:0005515	protein binding	None	ISS: Inferred from Sequence or Structural Similarity
Ntsc5674	NCU00243	molecular_function	GO:0051010	microtubule plus-end binding	None	ISS: Inferred from Sequence or Structural Similarity
Ntsc5733	NCU00258	cellular_component	GO:0005730	nucleolus	None	ISS: Inferred from Sequence or Structural Similarity
Ntsc5733	NCU00258	cellular_component	GO:0022627	cytosolic small ribosomal subunit	None	ISS: Inferred from Sequence or Structural Similarity
Ntsc5733	NCU00258	molecular_function	GO:0003735	structural constituent of ribosome	None	ISS: Inferred from Sequence or Structural Similarity
Ntsc5733	NCU00258	molecular_function	GO:0005515	protein binding	None	ISS: Inferred from Sequence or Structural Similarity
Ntsc8010	NCU00261	biological_process	GO:0006241	CTP biosynthetic process	None	ISS: Inferred from Sequence or Structural Similarity
Ntsc8010	NCU00261	biological_process	GO:0008654	phospholipid biosynthetic process	None	ISS: Inferred from Sequence or Structural Similarity
Ntsc8010	NCU00261	biological_process	GO:0019856	pyrimidine base biosynthetic process	None	ISS: Inferred from Sequence or Structural Similarity
Ntsc8010	NCU00261	molecular_function	GO:0003883	CTP synthase activity	None	ISS: Inferred from Sequence or Structural Similarity
Ntsc5703	NCU00263	biological_process	GO:0009416	response to light stimulus	19262566	IEP: Inferred from Expression Pattern
Ntsc2017	NCU00269	biological_process	GO:0019953	sexual reproduction	16087750	IMP: Inferred from Mutant Phenotype
Ntsc2017	NCU00269	biological_process	GO:0019954	asexual reproduction	16087750	IMP: Inferred from Mutant Phenotype
Ntsc2017	NCU00269	biological_process	GO:0040009	regulation of growth rate	16087750	IMP: Inferred from Mutant Phenotype
Ntsc2017	NCU00269	cellular_component	GO:0005634	nucleus	16087750	IC: Inferred by Curator
Ntsc2017	NCU00269	molecular_function	GO:0046975	histone methyltransferase activity (H3-K36 specific)	16087750	IDA: Inferred from Direct Assay
Ntsc5667	NCU00294	biological_process	GO:0006412	translation	None	ISS: Inferred from Sequence or Structural Similarity
Ntsc5667	NCU00294	cellular_component	GO:0022625	cytosolic large ribosomal subunit	None	ISS: Inferred from Sequence or Structural Similarity
Ntsc5667	NCU00294	molecular_function	GO:0003735	structural constituent of ribosome	None	ISS: Inferred from Sequence or Structural Similarity
Ntsc5701	NCU00299	biological_process	GO:0009416	response to light stimulus	19262566	IEP: Inferred from Expression Pattern
Ntsc5660	NCU00309	biological_process	GO:0009416	response to light stimulus	19262566	IEP: Inferred from Expression Pattern
Ntsc5660	NCU00309	biological_process	GO:0043405	regulation of MAP kinase activity	22879952	IMP: Inferred from Mutant Phenotype
Ntsc5659	NCU00315	biological_process	GO:0006412	translation	None	ISS: Inferred from Sequence or Structural Similarity
Ntsc5659	NCU00315	biological_process	GO:0009416	response to light stimulus	12180913	IEP: Inferred from Expression Pattern
Ntsc5659	NCU00315	cellular_component	GO:0005737	cytoplasm	None	ISS: Inferred from Sequence or Structural Similarity
Ntsc5659	NCU00315	cellular_component	GO:0022625	cytosolic large ribosomal subunit	None	ISS: Inferred from Sequence or Structural Similarity
Ntsc5659	NCU00315	molecular_function	GO:0003735	structural constituent of ribosome	None	ISS: Inferred from Sequence or Structural Similarity
Ntsc5658	NCU00316	cellular_component	GO:0009514	glyoxysome	20707002	IDA: Inferred from Direct Assay
Ntsc5655	NCU00322	biological_process	GO:0009416	response to light stimulus	19262566	IEP: Inferred from Expression Pattern
Ntsc5744	NCU00329	biological_process	GO:0030448	hyphal growth	16801547	IMP: Inferred from Mutant Phenotype
Ntsc5744	NCU00329	biological_process	GO:0070787	conidiophore development	16801547	IMP: Inferred from Mutant Phenotype
Ntsc5695	NCU00338	molecular_function	GO:0004190	aspartic-type endopeptidase activity	22112824	IDA: Inferred from Direct Assay
Ntsc5651	NCU00340	biological_process	GO:0000909	sporocarp development involved in sexual reproduction	15802524	IMP: Inferred from Mutant Phenotype
Ntsc5651	NCU00340	biological_process	GO:0007166	cell surface receptor linked signaling pathway	None	ISS: Inferred from Sequence or Structural Similarity
Ntsc5651	NCU00340	biological_process	GO:0007329	positive regulation of transcription from RNA polymerase II promoter by pheromones	None	ISS: Inferred from Sequence or Structural Similarity
Ntsc5651	NCU00340	biological_process	GO:0040009	regulation of growth rate	15802524	IMP: Inferred from Mutant Phenotype
Ntsc5651	NCU00340	cellular_component	GO:0005634	nucleus	None	ISS: Inferred from Sequence or Structural Similarity
Ntsc5651	NCU00340	molecular_function	GO:0003700	sequence-specific DNA binding transcription factor activity	None	ISS: Inferred from Sequence or Structural Similarity
Ntsc5651	NCU00340	molecular_function	GO:0043565	sequence-specific DNA binding	None	ISS: Inferred from Sequence or Structural Similarity
Ntsc5651	NCU00340	molecular_function	GO:0051019	mitogen-activated protein kinase binding	15802524	ISS: Inferred from Sequence or Structural Similarity
Ntsc5603	NCU00348	biological_process	GO:0000398	nuclear mRNA splicing, via spliceosome	None	ISS: Inferred from Sequence or Structural Similarity
Ntsc5603	NCU00348	cellular_component	GO:0005686	U2 snRNP	None	ISS: Inferred from Sequence or Structural Similarity
Ntsc5626	NCU00355	biological_process	GO:0006979	response to oxidative stress	17895581	IEP: Inferred from Expression Pattern
Ntsc5626	NCU00355	biological_process	GO:0016119	carotene metabolic process	12912899	IMP: Inferred from Mutant Phenotype
Ntsc5626	NCU00355	biological_process	GO:0018158	protein oxidation	12912899	IMP: Inferred from Mutant Phenotype
Ntsc5626	NCU00355	biological_process	GO:0030436	asexual sporulation	18567788	IMP: Inferred from Mutant Phenotype
Ntsc5626	NCU00355	biological_process	GO:0042542	response to hydrogen peroxide	12912899	IMP: Inferred from Mutant Phenotype
Ntsc5626	NCU00355	biological_process	GO:0048315	conidium formation	12912899	IMP: Inferred from Mutant Phenotype
Ntsc5626	NCU00355	cellular_component	GO:0030446	hyphal cell wall	19555771	IEP: Inferred from Expression Pattern
Ntsc5626	NCU00355	molecular_function	GO:0004096	catalase activity	12912899	IDA: Inferred from Direct Assay
Ntsc5623	NCU00360	biological_process	GO:0009416	response to light stimulus	19262566	IEP: Inferred from Expression Pattern
Ntsc1996	NCU00366	biological_process	GO:0006446	regulation of translational initiation	None	ISS: Inferred from Sequence or Structural Similarity
Ntsc1996	NCU00366	biological_process	GO:0042256	mature ribosome assembly	None	ISS: Inferred from Sequence or Structural Similarity
Ntsc1996	NCU00366	cellular_component	GO:0022627	cytosolic small ribosomal subunit	None	ISS: Inferred from Sequence or Structural Similarity
Ntsc1996	NCU00366	cellular_component	GO:0043614	multi-eIF complex	None	ISS: Inferred from Sequence or Structural Similarity
Ntsc1996	NCU00366	molecular_function	GO:0005096	GTPase activator activity	None	ISS: Inferred from Sequence or Structural Similarity
Ntsc5618	NCU00385	biological_process	GO:0015986	ATP synthesis coupled proton transport	None	ISS: Inferred from Sequence or Structural Similarity
Ntsc5618	NCU00385	cellular_component	GO:0005739	mitochondrion	None	ISS: Inferred from Sequence or Structural Similarity
Ntsc5618	NCU00385	cellular_component	GO:0005739	mitochondrion	21145408	IDA: Inferred from Direct Assay
Ntsc5618	NCU00385	cellular_component	GO:0005756	mitochondrial proton-transporting ATP synthase, central stalk	None	ISS: Inferred from Sequence or Structural Similarity
Ntsc5618	NCU00385	cellular_component	GO:0045261	proton-transporting ATP synthase complex, catalytic core F(1)	None	ISS: Inferred from Sequence or Structural Similarity
Ntsc5618	NCU00385	molecular_function	GO:0016887	ATPase activity	None	ISS: Inferred from Sequence or Structural Similarity
Ntsc5618	NCU00385	molecular_function	GO:0046933	hydrogen ion transporting ATP synthase activity, rotational mechanism	None	ISS: Inferred from Sequence or Structural Similarity
Ntsc5644	NCU00389	biological_process	GO:0006351	transcription, DNA-dependent	None	ISS: Inferred from Sequence or Structural Similarity
Ntsc5644	NCU00389	molecular_function	GO:0008134	transcription factor binding	None	ISS: Inferred from Sequence or Structural Similarity
Ntsc5599	NCU00395	cellular_component	GO:0005739	mitochondrion	21145408	IDA: Inferred from Direct Assay
Ntsc5615	NCU00405	biological_process	GO:0006353	transcription termination, DNA-dependent	None	ISS: Inferred from Sequence or Structural Similarity
Ntsc5615	NCU00405	biological_process	GO:0006426	glycyl-tRNA aminoacylation	None	ISS: Inferred from Sequence or Structural Similarity
Ntsc5615	NCU00405	cellular_component	GO:0005737	cytoplasm	None	ISS: Inferred from Sequence or Structural Similarity
Ntsc5615	NCU00405	cellular_component	GO:0005739	mitochondrion	None	ISS: Inferred from Sequence or Structural Similarity
Ntsc5615	NCU00405	molecular_function	GO:0004820	glycine-tRNA ligase activity	None	ISS: Inferred from Sequence or Structural Similarity
Ntsc1995	NCU00406	biological_process	GO:0000909	sporocarp development involved in sexual reproduction	21965514	IMP: Inferred from Mutant Phenotype
Ntsc1995	NCU00406	biological_process	GO:0030437	ascospore formation	21965514	IMP: Inferred from Mutant Phenotype
Ntsc1995	NCU00406	biological_process	GO:0030448	hyphal growth	21965514	IMP: Inferred from Mutant Phenotype
Ntsc1995	NCU00406	biological_process	GO:0048315	conidium formation	21965514	IMP: Inferred from Mutant Phenotype
Ntsc1995	NCU00406	biological_process	GO:0070787	conidiophore development	21965514	IMP: Inferred from Mutant Phenotype
Ntsc5597	NCU00410	biological_process	GO:0006415	translational termination	None	ISS: Inferred from Sequence or Structural Similarity
Ntsc5597	NCU00410	cellular_component	GO:0005829	cytosol	None	ISS: Inferred from Sequence or Structural Similarity
Ntsc5597	NCU00410	cellular_component	GO:0018444	translation release factor complex	None	ISS: Inferred from Sequence or Structural Similarity
Ntsc5597	NCU00410	molecular_function	GO:0016149	translation release factor activity, codon specific	None	ISS: Inferred from Sequence or Structural Similarity
Ntsc5614	NCU00413	biological_process	GO:0006412	translation	None	ISS: Inferred from Sequence or Structural Similarity
Ntsc5614	NCU00413	cellular_component	GO:0022625	cytosolic large ribosomal subunit	None	ISS: Inferred from Sequence or Structural Similarity
Ntsc5614	NCU00413	molecular_function	GO:0003735	structural constituent of ribosome	None	ISS: Inferred from Sequence or Structural Similarity
Ntsc5642	NCU00418	biological_process	GO:0006116	NADH oxidation	15863099	IC: Inferred by Curator
Ntsc5642	NCU00418	cellular_component	GO:0005739	mitochondrion	15863099	IC: Inferred by Curator
Ntsc5642	NCU00418	cellular_component	GO:0005747	mitochondrial respiratory chain complex I	15863099	IC: Inferred by Curator
Ntsc5642	NCU00418	cellular_component	GO:0042652	mitochondrial respiratory chain complex I, peripheral segment	8166654	IPI: Inferred from Physical Interaction
Ntsc5642	NCU00418	molecular_function	GO:0009055	electron carrier activity	15863099	IC: Inferred by Curator
Ntsc5633	NCU00421	biological_process	GO:0000768	syncytium formation by plasma membrane fusion	21666072	IMP: Inferred from Mutant Phenotype
Ntsc5610	NCU00430	biological_process	GO:0009416	response to light stimulus	19262566	IEP: Inferred from Expression Pattern
Ntsc5641	NCU00431	biological_process	GO:0006626	protein targeting to mitochondrion	9584158	TAS: Traceable Author Statement
Ntsc5641	NCU00431	biological_process	GO:0030448	hyphal growth	9584158	IMP: Inferred from Mutant Phenotype
Ntsc5641	NCU00431	biological_process	GO:0043496	regulation of protein homodimerization activity	9710610	IMP: Inferred from Mutant Phenotype
Ntsc5641	NCU00431	cellular_component	GO:0005741	mitochondrial outer membrane	16294304	IDA: Inferred from Direct Assay
Ntsc5641	NCU00431	cellular_component	GO:0005742	mitochondrial outer membrane translocase complex	9635430	IPI: Inferred from Physical Interaction
